Country Rank,Country / Territory,WB Code,IFS Code,Region,Country Rank,CPI 2013 Score,Surveys Used,Standard Error,CI_Lower,CI_Upper,Scores_MIN,Scores_MAX,,,,,,,,,,,,,
123,Dominican Republic,DOM,243,AM,123,29,6,3.5,23,35,21,42,,,,,,,,,,,,,
123,Guatemala,GTM,258,AM,123,29,6,2.6,25,33,21,36,,,,,,,,,,,,,
123,Togo,TGO,742,AF,123,29,5,3.7,23,35,21,42,,,,,,,,,,,,,
127,Azerbaijan,AZE,912,EE,127,28,6,3.5,22,34,21,40,,,,,,,,,,,,,
127,Comoros,COM,632,AF,127,28,3,7.5,16,40,17,42,,,,,,,,,,,,,
127,Gambia,GMB,648,AF,127,28,5,6.7,17,39,12,50,,,,,,,,,,,,,
127,Lebanon,LBN,446,ME,127,28,6,3.3,23,33,17,38,,,,,,,,,,,,,
127,Madagascar,MDG,674,AF,127,28,8,1.9,25,31,22,38,,,,,,,,,,,,,
127,Mali,MLI,678,AF,127,28,6,3.3,23,33,20,40,,,,,,,,,,,,,
127,Nicaragua,NIC,278,AM,127,28,7,2.4,24,32,21,37,,,,,,,,,,,,,
127,Pakistan,PAK,564,AP,127,28,8,3,23,33,19,42,,,,,,,,,,,,,
127,Russia,RUS,922,EE,127,28,9,2.3,24,32,21,43,,,,,,,,,,,,,
136,Bangladesh,BGD,513,AP,136,27,7,4.1,20,34,21,50,,,,,,,,,,,,,
136,Côte d´Ivoire,CIV,662,AF,136,27,8,2.3,23,31,19,38,,,,,,,,,,,,,
136,Guyana,GUY,336,AM,136,27,4,2.9,22,32,21,33,,,,,,,,,,,,,
136,Kenya,KEN,664,AF,136,27,8,2.7,23,31,19,37,,,,,,,,,,,,,
140,Honduras,HND,268,AM,140,26,6,2.5,22,30,21,35,,,,,,,,,,,,,
140,Kazakhstan,KAZ,916,EE,140,26,8,3.3,21,31,11,39,,,,,,,,,,,,,
140,Laos,LAO,544,AP,140,26,4,5,18,34,19,41,,,,,,,,,,,,,
140,Uganda,UGA,746,AF,140,26,8,3.3,21,31,12,38,,,,,,,,,,,,,
144,Cameroon,CMR,622,AF,144,25,8,2.9,20,30,12,40,,,,,,,,,,,,,
144,Central African Republic,CAF,626,AF,144,25,4,5.4,16,34,11,37,,,,,,,,,,,,,
144,Iran,IRN,429,ME,144,25,6,3.9,19,31,15,41,,,,,,,,,,,,,
144,Nigeria,NGA,694,AF,144,25,9,3.1,20,30,14,40,,,,,,,,,,,,,
144,Papua New Guinea,PNG,853,AP,144,25,5,4.2,18,32,11,35,,,,,,,,,,,,,
144,Ukraine,UKR,926,EE,144,25,8,1.7,22,28,18,32,,,,,,,,,,,,,
150,Guinea,GIN,656,AF,150,24,7,3.6,18,30,12,40,,,,,,,,,,,,,
150,Kyrgyzstan,KGZ,917,EE,150,24,6,2.3,20,28,18,35,,,,,,,,,,,,,
150,Paraguay,PRY,288,AM,150,24,5,3.1,19,29,19,36,,,,,,,,,,,,,
153,Angola,AGO,614,AF,153,23,7,2.8,18,28,19,40,,,,,,,,,,,,,
