Country Name,Country Code,LifeExp_1960,LifeExp_1961,LifeExp_1962,LifeExp_1963,LifeExp_1964,LifeExp_1965,LifeExp_1966,LifeExp_1967,LifeExp_1968,LifeExp_1969,LifeExp_1970,LifeExp_1971,LifeExp_1972,LifeExp_1973,LifeExp_1974,LifeExp_1975,LifeExp_1976,LifeExp_1977,LifeExp_1978,LifeExp_1979,LifeExp_1980,LifeExp_1981,LifeExp_1982,LifeExp_1983,LifeExp_1984,LifeExp_1985,LifeExp_1986,LifeExp_1987,LifeExp_1988,LifeExp_1989,LifeExp_1990,LifeExp_1991,LifeExp_1992,LifeExp_1993,LifeExp_1994,LifeExp_1995,LifeExp_1996,LifeExp_1997,LifeExp_1998,LifeExp_1999,LifeExp_2000,LifeExp_2001,LifeExp_2002,LifeExp_2003,LifeExp_2004,LifeExp_2005,LifeExp_2006,LifeExp_2007,LifeExp_2008,LifeExp_2009,LifeExp_2010,LifeExp_2011,LifeExp_2012,LifeExp_2013,LifeExp_2014,LifeExp_2015
Tonga,TON,61.3645365854,61.7327073171,62.0972926829,62.4587560976,62.8151463415,63.1679756098,63.5183170732,63.8672439024,64.2122682927,64.552902439,64.885097561,65.204804878,65.5079756098,65.7950487805,66.0660243902,66.3233902439,66.5711463415,66.8153658537,67.0585609756,67.3032682927,67.55,67.7997317073,68.0494878049,68.2952926829,68.5336585366,68.7596585366,68.965902439,69.1519268293,69.315195122,69.4576829268,69.5823170732,69.6930487805,69.7972195122,69.9007317073,70.0064634146,70.1192682927,70.2385121951,70.3636829268,70.4928536585,70.6250731707,70.7604390244,70.8985853659,71.0366829268,71.1754390244,71.3144390244,71.4533414634,71.5937073171,71.737,71.883195122,72.0317560976,72.1826097561,72.3347317073,72.488,72.6403414634,72.792195122,72.9440487805
South Asia (IDA & IBRD),TSA,41.960596901,42.6000381583,43.2436903693,43.8866968257,44.5373858954,45.180597785,45.8095560148,46.4170632362,47.0017131518,47.5652710149,48.1204648453,48.6825157012,49.2666595781,49.8781179703,50.5119732416,51.1568183368,51.7979428357,52.4179449245,53.0031347753,53.548178662,54.0477270478,54.4999152808,54.919162723,55.3161481193,55.6986661185,56.0792206235,56.4694290246,56.8758571021,57.3017087329,57.7498955782,58.2197176293,58.707143899,59.2034338654,59.7002378566,60.192886152,60.6772622993,61.14907159,61.6087619063,62.0560709841,62.4878526682,62.9035393289,63.3028019888,63.6881508858,64.0645269664,64.4336599174,64.8005651994,65.1707987275,65.5456844363,65.9251562771,66.3076425248,66.6897198038,67.0664315583,67.4315052644,67.7820209864,68.1162868287,68.4332446951
Sub-Saharan Africa (IDA & IBRD countries),TSS,40.1551519482,40.596923759,41.0292386652,41.4505568617,41.8610441422,42.2633538113,42.6609878903,43.0585030548,43.45945705,43.8654052346,44.2774041274,44.6955679866,45.1161022323,45.5346871441,45.9468744817,46.3496590084,46.7412472594,47.1202765937,47.4856890087,47.8362975829,48.1704898837,48.4871904261,48.7880634261,49.0605933913,49.3100068928,49.5236372036,49.6916204481,49.8122400552,49.8790363757,49.9097330388,49.9149028396,49.9108436858,49.9108317607,49.9106143886,49.9161361615,49.9226440003,49.9342806695,49.9658539698,50.0250778327,50.1369894335,50.3215444197,50.597998422,50.9809347688,51.4625587084,52.0374627456,52.6915127347,53.4055563882,54.1506350706,54.8972535047,55.6235869853,56.3087395745,56.9403798302,57.521404359,58.0534906054,58.5371229538,58.974620781
Trinidad and Tobago,TTO,62.6575853659,63.2537560976,63.760195122,64.1613902439,64.4557804878,64.6517560976,64.7701707317,64.8479268293,64.918,64.9998780488,65.1106341463,65.2603902439,65.442804878,65.6469512195,65.8713414634,66.104902439,66.3374878049,66.556,66.7518536585,66.9210487805,67.0626829268,67.1798780488,67.2812682927,67.3759512195,67.4664146341,67.5566829268,67.6492439024,67.7429268293,67.8371219512,67.931195122,68.022902439,68.1105853659,68.1916341463,68.2641219512,68.328097561,68.3837560976,68.4308292683,68.4726097561,68.5113170732,68.5515609756,68.5964390244,68.6489512195,68.7104390244,68.7842682927,68.8718292683,68.9790487805,69.1083414634,69.2596585366,69.4289268293,69.6105853659,69.7975609756,69.9803170732,70.1513902439,70.3052926829,70.4405609756,70.5577073171
Tunisia,TUN,42.0097560976,42.6455121951,43.3416829268,44.1007804878,44.9238536585,45.8144146341,46.7749512195,47.8005121951,48.8791219512,49.997804878,51.1427317073,52.2975365854,53.4502439024,54.5887804878,55.7039756098,56.7950243902,57.8705365854,58.9367317073,59.9924878049,61.0288536585,62.0245121951,62.954804878,63.8036585366,64.5668536585,65.2490487805,65.8676829268,66.4496097561,67.0230731707,67.607902439,68.2100731707,68.827097561,69.4455609756,70.0431219512,70.601902439,71.1139512195,71.5753414634,71.9856097561,72.3526829268,72.6835365854,72.9836097561,73.2553658537,73.5052195122,73.7351463415,73.9455609756,74.1374390244,74.3032439024,74.4339512195,74.5245853659,74.5776585366,74.6017073171,74.6117073171,74.6262195122,74.6622195122,74.7297560976,74.8353414634,74.9759756098
Turkey,TUR,45.3844146341,46.1044878049,46.8367073171,47.5740243902,48.3063170732,49.0234390244,49.7157317073,50.3836097561,51.0285121951,51.6519268293,52.2614146341,52.865097561,53.4751219512,54.0966097561,54.7336585366,55.3852195122,56.0497560976,56.7186829268,57.385,58.0442682927,58.6915853659,59.3261219512,59.9464634146,60.5526585366,61.143195122,61.7144390244,62.2622682927,62.7875121951,63.2945365854,63.7903170732,64.2823414634,64.783097561,65.3002195122,65.837902439,66.3987317073,66.9819268293,67.5862195122,68.1996829268,68.8122682927,69.4153902439,69.9993414634,70.555804878,71.0819756098,71.574195122,72.0298780488,72.4481219512,72.8285853659,73.1770731707,73.5007560976,73.8032195122,74.0909268293,74.3673414634,74.636804878,74.9007073171,75.1635121951,75.4262195122
Tuvalu,TUV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania,TZA,43.6538780488,43.9072926829,44.1622439024,44.4237073171,44.6977073171,44.9887317073,45.2962926829,45.6193658537,45.9559268293,46.3079756098,46.6805121951,47.0814878049,47.5109512195,47.9613414634,48.4212439024,48.8731463415,49.2976097561,49.6781707317,50.0023170732,50.2645609756,50.4683414634,50.6251219512,50.7503170732,50.8509512195,50.9250487805,50.9541707317,50.912902439,50.7883414634,50.5800731707,50.3041219512,49.9775609756,49.6234146341,49.2801463415,48.9871463415,48.7793170732,48.6915121951,48.7481219512,48.9524878049,49.3045121951,49.8066341463,50.4653414634,51.2807073171,52.229804878,53.2841707317,54.4162439024,55.6047804878,56.832,58.0777804878,59.3147073171,60.5095121951,61.6256097561,62.632097561,63.520902439,64.2918292683,64.943902439,65.4874878049
Uganda,UGA,43.9835609756,44.5600243902,45.1470487805,45.7381219512,46.3212682927,46.8794878049,47.3947560976,47.8535365854,48.2458292683,48.5675853659,48.816804878,49.0004878049,49.1331219512,49.2256829268,49.2871463415,49.3239756098,49.3441463415,49.3461219512,49.3253902439,49.2754634146,49.1827804878,49.0287804878,48.8025121951,48.5020487805,48.1300243902,47.6906097561,47.1889756098,46.6467804878,46.0931219512,45.5555853659,45.0562682927,44.6122195122,44.2392926829,43.9573414634,43.7942439024,43.7833170732,43.9574146341,44.3188780488,44.859097561,45.5649756098,46.4199756098,47.4041463415,48.4755853659,49.587804878,50.7012439024,51.7702195122,52.7570487805,53.6541463415,54.4619756098,55.182097561,55.8366585366,56.4637560976,57.100195122,57.7676829268,58.4664146341,59.1790731707
Ukraine,UKR,68.2995365854,68.7638536585,69.146097561,69.4577073171,69.7082195122,69.9056341463,70.0565365854,70.1611219512,70.2230731707,70.2475609756,70.2352195122,70.1826341463,70.0908536585,69.9629268293,69.8088536585,69.6346341463,69.4461707317,69.2534390244,69.070902439,68.9151219512,68.8178292683,68.8108292683,68.9012439024,69.0774878049,69.3173414634,69.5747804878,69.7912439024,70.4951219512,70.4975609756,70.5390243902,70.1365853659,68.8780487805,69.0682926829,68.4756097561,67.8385365854,67.1370731707,66.887804878,67.2953658537,67.9887804878,68.2134146341,67.8595121951,68.2870731707,68.2756097561,68.2107317073,68.1853658537,67.9568292683,68.0775609756,68.222195122,68.2514634146,69.19,70.2653658537,70.8092682927,70.9441463415,71.1595121951,71.1865853659,71.1895121951
