,Country/Territory,WB_Code,Region,CPI_2014_Score,CPI_2016_Score,CPI_2015_Score
144,Bangladesh,BGD,AP,25.0,26.0,25.0
145,Guinea,GIN,AF,25.0,27.0,25.0
146,Kenya,KEN,AF,25.0,26.0,25.0
147,Laos,LAO,AP,25.0,30.0,25.0
148,Papua New Guinea,PNG,AP,25.0,28.0,25.0
149,Central African Republic,CAF,AF,24.0,20.0,24.0
150,Paraguay,PRY,AM,24.0,30.0,27.0
151,Congo Republic,COG,AF,23.0,20.0,23.0
152,Tajikistan,TJK,EE,23.0,25.0,26.0
153,Chad,TCD,AF,22.0,20.0,22.0
154,Democratic Republic of the Congo,COD,AF,22.0,21.0,22.0
155,Cambodia,KHM,AP,21.0,21.0,21.0
156,Myanmar,MMR,AP,21.0,28.0,22.0
157,Zimbabwe,ZWE,AF,21.0,22.0,21.0
158,Burundi,BDI,AF,20.0,20.0,21.0
159,Syria,SYR,ME,20.0,13.0,18.0
160,Angola,AGO,AF,19.0,18.0,15.0
161,Guinea-Bissau,GNB,AF,19.0,16.0,17.0
162,Haiti,HTI,AM,19.0,20.0,17.0
163,Venezuela,VEN,AM,19.0,17.0,17.0
164,Yemen,YEM,ME,19.0,14.0,18.0
165,Eritrea,ERI,AF,18.0,18.0,18.0
166,Libya,LBY,ME,18.0,14.0,16.0
167,Uzbekistan,UZB,EE,18.0,21.0,19.0
168,Turkmenistan,TKM,EE,17.0,22.0,18.0
169,Iraq,IRQ,ME,16.0,17.0,16.0
170,South Sudan,SSD,AF,15.0,11.0,
171,Afghanistan,AFG,AP,12.0,15.0,11.0
172,Sudan,SDN,ME,11.0,14.0,12.0
173,Korea (North),PRK,AP,8.0,12.0,8.0
174,Somalia,SOM,AF,8.0,10.0,8.0
175,Saint Lucia,LCA,,,60.0,
176,Brunei,BRN,,,58.0,
177,Grenada,GRD,,,56.0,
178,Solomon Islands,SLB,,,42.0,
179,Maldives,MDV,,,36.0,
180,South Sudan,,,,,15.0
