Country Name,Country Code,school_enrl_1960,school_enrl_1961,school_enrl_1962,school_enrl_1963,school_enrl_1964,school_enrl_1965,school_enrl_1966,school_enrl_1967,school_enrl_1968,school_enrl_1969,school_enrl_1970,school_enrl_1971,school_enrl_1972,school_enrl_1973,school_enrl_1974,school_enrl_1975,school_enrl_1976,school_enrl_1977,school_enrl_1978,school_enrl_1979,school_enrl_1980,school_enrl_1981,school_enrl_1982,school_enrl_1983,school_enrl_1984,school_enrl_1985,school_enrl_1986,school_enrl_1987,school_enrl_1988,school_enrl_1989,school_enrl_1990,school_enrl_1991,school_enrl_1992,school_enrl_1993,school_enrl_1994,school_enrl_1995,school_enrl_1996,school_enrl_1997,school_enrl_1998,school_enrl_1999,school_enrl_2000,school_enrl_2001,school_enrl_2002,school_enrl_2003,school_enrl_2004,school_enrl_2005,school_enrl_2006,school_enrl_2007,school_enrl_2008,school_enrl_2009,school_enrl_2010,school_enrl_2011,school_enrl_2012,school_enrl_2013,school_enrl_2014,school_enrl_2015
East Asia & Pacific,EAS,,,,,,,,,,,,,,0.782130002975,0.779789984226,0.83246999979,0.855520009995,0.858600020409,0.860400021076,0.854260027409,0.852360010147,0.842610001564,0.837710022926,0.842069983482,0.846700012684,0.851249992847,0.864080011845,0.876269996166,0.881630003452,0.890649974346,0.895839989185,0.904670000076,0.914210021496,0.91642999649,0.930580019951,0.937659978867,0.944999992847,0.951319992542,0.957790017128,0.966239988804,0.971149981022,0.974870026112,0.974359989166,0.976010024548,0.982349991798,0.986180007458,0.989780008793,0.990100026131,0.992720007896,0.995100021362,0.991540014744,0.993900001049,0.995209991932,0.995760023594,0.998799979687,
Europe & Central Asia (excluding high income),ECA,,,,,,,,,,,,,,,,,,,,,,,,0.963530004025,0.964309990406,0.965210020542,0.965470016003,0.965420007706,0.965860009193,0.965879976749,0.966979980469,0.968320012093,0.969669997692,0.969669997692,0.971279978752,0.969479978085,0.969699978828,0.970459997654,0.965529978275,0.961589992046,0.963129997253,0.958000004292,0.956399977207,0.955810010433,0.959949970245,0.961960017681,0.966589987278,0.968569993973,0.97271001339,0.979420006275,0.978250026703,0.977850019932,0.982689976692,0.985509991646,0.986150026321,
Europe & Central Asia,ECS,,,,,,,,,,,0.972509980202,0.97297000885,0.97333997488,0.977900028229,0.97408002615,0.978969991207,0.982670009136,0.979749977589,0.980430006981,0.980210006237,0.981710016727,0.986100018024,0.984879970551,0.988120019436,0.987370014191,0.987860023975,0.988680005074,0.989180028439,0.988070011139,0.986699998379,0.987179994583,0.989019989967,0.990909993649,0.98882997036,0.986869990826,0.986079990864,0.986930012703,0.986540019512,0.984459996223,0.982819974422,0.983250021935,0.981339991093,0.979330003262,0.979480028152,0.980639994144,0.980669975281,0.982400000095,0.98299998045,0.984350025654,0.985769987106,0.984640002251,0.984300017357,0.986060023308,0.99255001545,0.992699980736,
Ecuador,ECU,,,,,,,,,,,,0.942269980907,0.942870020866,0.945339977741,0.955060005188,0.962660014629,0.960539996624,0.963469982147,0.964150011539,0.982029974461,0.970920026302,0.979359984398,,0.997430026531,1.00325000286,0.996550023556,1.00020003319,1.00098001957,1.00314998627,,,,,0.995949983597,,,1.00764000416,,1.00987994671,1.00720000267,1.00151002407,1.00612998009,1.00089001656,1.00392997265,0.998329997063,1.00050997734,1.00144994259,1.00209999084,,,1.02253997326,1.01736998558,1.01926004887,1.02425003052,1.02061998844,1.01984000206
"Egypt, Arab Rep.",EGY,,,,,,,,,,,,0.618730008602,0.619750022888,0.620700001717,0.624109983444,0.618430018425,0.630379974842,0.638859987259,0.644940018654,0.657320022583,0.662989974022,0.678990006447,0.691980004311,0.70734000206,0.725369989872,0.743539988995,0.761189997196,0.773829996586,0.763909995556,0.798520028591,0.816290020943,0.823419988155,0.855549991131,0.862800002098,0.851010024548,0.885760009289,0.81124997139,0.876820027828,,0.923099994659,0.932839989662,0.941929996014,,0.950519979,0.95744997263,,,,,0.975910007954,0.971159994602,0.968930006027,0.985260009766,0.985549986362,0.995630025864,
Euro area,EMU,,,,,,,,,,,0.969889998436,0.970260024071,0.972220003605,0.982110023499,0.971090018749,0.982309997082,0.991060018539,0.986590027809,0.990859985352,0.990450024605,0.996179997921,1.00532996655,0.998830020428,1.00583004951,1.00463998318,1.00510001183,1.00718998909,1.00789999962,1.00475001335,1.00541996956,1.00625002384,1.00808000565,1.00957000256,1.00929999352,1.00239002705,1.00120997429,1.00312995911,1.0013999939,0.999930024147,1.00047004223,0.999759972095,1.00153005123,0.998340010643,0.998449981213,0.996230006218,0.99443000555,0.99281001091,0.992699980736,0.991829991341,0.987749993801,0.987139999866,0.986320018768,0.985339999199,0.990750014782,0.990649998188,
Eritrea,ERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8209400177,0.787609994411,0.786660015583,0.797900021076,0.799650013447,,0.792289972305,0.788940012455,0.794529974461,0.759050011635,0.763499975204,0.722370028496,0.732909977436,0.735889971256,0.794189989567,0.78845000267,0.789349973202,0.816020011902,0.820070028305,0.823620021343,0.940519988537,0.839579999447,0.858690023422
Spain,ESP,,,,,,,,,,,,0.929660022259,0.937089979649,0.950770020485,0.949339985847,0.980570018291,0.985019981861,0.991089999676,0.993160009384,0.974860012531,1.02003002167,1.02199995518,0.99862998724,1.03280997276,1.0182299614,1.02052998543,1.03889000416,1.04679000378,1.03913998604,1.03756999969,1.02964997292,1.03851997852,1.04518997669,1.04798996449,1.04939997196,1.05068004131,1.05487000942,1.03108000755,1.03550004959,1.034719944,1.03386998177,1.03128004074,1.03421998024,1.0282599926,1.03169000149,1.02936995029,1.02795994282,1.03015995026,1.02787995338,1.02129995823,1.00988996029,1.0032299757,1.00162994862,1.00743997097,1.00732004642,1.00416004658
Estonia,EST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02499997616,1.02216005325,1.05043005943,1.04410004616,1.03700995445,,1.01655995846,1.01863002777,1.02328002453,1.01795005798,1.01767003536,1.02345001698,1.01704001427,1.01028001308,1.01447999477,1.01452994347,1.01288998127,1.005210042,0.993719995022,0.991460025311,0.992890000343,0.99291998148,0.9945499897,0.997739970684
Ethiopia,ETH,,,,,,,,,,,,0.434509992599,0.441949993372,,0.451819986105,,,,,,,,,,0.605970025063,,,,,,,0.694500029087,0.758979976177,0.744809985161,0.675199985504,0.635999977589,0.605130016804,,,0.622879981995,0.657199978828,0.6875,0.69779998064,0.699959993362,0.735090017319,0.782570004463,0.813899993896,0.835879981518,0.86223000288,0.891669988632,0.900730013847,0.911570012569,0.921909987926,,,0.92039000988
